case_id,system_name,predicted_intent,intent_confidence,draft_reply,handling_decision,decision_reason,evidence_case_ids,evidence_quotes,evidence_scores,safety_flags
tesco-2950175,simple_rules_bm25_v1,other_or_unclear,0.2,"@customer Hi <name_redacted>, thank you for getting back to us, the links are not working. However I am sure I know what the issue is. 1/2 @customer As the offer works in multiples of 3, as you have added a 7th item, it is saying you have missed a promotion based on the one item. Chris2/2",ESCALATE,IMAGE_OR_MISSING_CONTEXT,"[""tesco-867684""]","[""@customer Hi <name_redacted>, thank you for getting back to us, the links are not working. However I am sure I know what the issue is. 1/2 @customer As the offer works in multiples of 3, as you have added a 7th item, it is saying you have missed a promotion based on the one item. Chris2/2""]",[5.171831],"[""image_or_link_dependent"", ""short_message""]"
tesco-1726133,simple_rules_bm25_v1,store_or_staff_experience,0.79,"@customer Hey, <name_redacted>! If you know longer require your order, you can nip into store to refuse the parcel. You'll then receive a full refund 1/2 @customer Alternatively, DM me your order number full name and address and I'll see if I can arrange it from my end :) - Dawn 2/2",ESCALATE,REPEATED_FAILURE_OR_DISTRESS,"[""tesco-1935135""]","[""@customer Hey, <name_redacted>! If you know longer require your order, you can nip into store to refuse the parcel. You'll then receive a full refund 1/2 @customer Alternatively, DM me your order number full name and address and I'll see if I can arrange it from my end :) - Dawn 2/2""]",[21.075037],"[""repeated_failure""]"
tesco-570535,simple_rules_bm25_v1,other_or_unclear,0.2,"@customer Oops! Thanks for letting us know about the error, Caroline :) Please can you send me a photo of the barcode number and use by date? 1/2 @customer I'll happily report this on my system so our suppliers and Head Office are made aware - Mat 2/2",ESCALATE,IMAGE_OR_MISSING_CONTEXT,"[""tesco-1665884""]","[""@customer Oops! Thanks for letting us know about the error, Caroline :) Please can you send me a photo of the barcode number and use by date? 1/2 @customer I'll happily report this on my system so our suppliers and Head Office are made aware - Mat 2/2""]",[16.3216],"[""image_or_link_dependent""]"
tesco-585163,simple_rules_bm25_v1,delivery_or_collection,0.63,"@customer I'll need the full name and address registered to the Direct account and the order number please. I'll then be back in touch ASAP. Dee, 2/2 @customer Hi <name_redacted>, I'm sorry you've not been able to collect your order. If you DM me a few details then I'll be able to look into this for you. 1/2",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1702260""]","[""@customer I'll need the full name and address registered to the Direct account and the order number please. I'll then be back in touch ASAP. Dee, 2/2 @customer Hi <name_redacted>, I'm sorry you've not been able to collect your order. If you DM me a few details then I'll be able to look into this for you. 1/2""]",[21.080199],"[""repeated_failure""]"
tesco-2699352,simple_rules_bm25_v1,delivery_or_collection,0.87,"@customer Hi <name_redacted>, we have had some customers with the same issue, I have made some changes on your account so can you have another look? TY",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1703186""]","[""@customer Hi <name_redacted>, we have had some customers with the same issue, I have made some changes on your account so can you have another look? TY""]",[34.075386],"[""account_or_order"", ""punctuation_heavy"", ""repeated_failure""]"
tesco-516771,simple_rules_bm25_v1,delivery_or_collection,0.63,"@customer Hi <name_redacted>, Thanks for getting in touch, I'll be more than happy to help! Could you explain what the issue is? Thanks",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1456959""]","[""@customer Hi <name_redacted>, Thanks for getting in touch, I'll be more than happy to help! Could you explain what the issue is? Thanks""]",[23.190245],"[""punctuation_heavy"", ""repeated_failure"", ""strong_distress""]"
tesco-504344,simple_rules_bm25_v1,pricing_promotion_or_clubcard,0.63,"@customer Hi <name_redacted>, I'm sorry to learn the order was bagged inappropriately today. 1/3 @customer I appreciate this must have been disappointing to discover and and I'd like to address this with the store 1/2 @customer In order for me to do so can you please DM your full name, full address and email address? Thank you - Aneurin 3/3",ESCALATE,MONEY_OR_COMMITMENT,"[""tesco-1238251""]","[""@customer Hi <name_redacted>, I'm sorry to learn the order was bagged inappropriately today. 1/3 @customer I appreciate this must have been disappointing to discover and and I'd like to address this with the store 1/2 @customer In order for me to do so can you please DM your full name, full address and email address? Thank you - Aneurin 3/3""]",[15.486309],"[""money""]"
tesco-2824379,simple_rules_bm25_v1,delivery_or_collection,0.63,"@customer Hi, so that I can investigate why this is can you please DM me your full name, address and email address? This must be ever so frustrating and I would like to see what I can do to help. Thanks",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-2349873""]","[""@customer Hi, so that I can investigate why this is can you please DM me your full name, address and email address? This must be ever so frustrating and I would like to see what I can do to help. Thanks""]",[18.379005],"[""punctuation_heavy"", ""strong_distress""]"
tesco-628221,simple_rules_bm25_v1,delivery_or_collection,0.63,"@customer Hi <name_redacted>, I'm really sorry to hear you were overcharged! You can take the receipt back to store or I can help over social media! 1/3 @customer If you'd like me to help, please DM me your name, address and postcode, and can you let me know how you were overcharged? 2/3 @customer Finally, a photo of the receipt, including the bottom row of digits on the receipt, if you can't get a photo you can type them out- Nick 3/3",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1269623""]","[""@customer Hi <name_redacted>, I'm really sorry to hear you were overcharged! You can take the receipt back to store or I can help over social media! 1/3 @customer If you'd like me to help, please DM me your name, address and postcode, and can you let me know how you were overcharged? 2/3 @customer Finally, a photo of the receipt, including the bottom row of digits on the receipt, if you can't get a photo you can type them out- Nick 3/3""]",[12.816503],"[""money""]"
tesco-496166,simple_rules_bm25_v1,delivery_or_collection,0.71,"@customer Hi <name_redacted>, I'm sorry you're having difficulty with the address your grocery order is being delivered to 1/3 @customer I'm afraid if you've chosen the wrong address you'll need to cancel the order and place a new one to the correct address 2/3 @customer If you require assistance with this please DM your full name, full address and email address. TY - Aneurin 3/3",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-397828""]","[""@customer Hi <name_redacted>, I'm sorry you're having difficulty with the address your grocery order is being delivered to 1/3 @customer I'm afraid if you've chosen the wrong address you'll need to cancel the order and place a new one to the correct address 2/3 @customer If you require assistance with this please DM your full name, full address and email address. TY - Aneurin 3/3""]",[28.549048],[]
tesco-552728,simple_rules_bm25_v1,delivery_or_collection,0.63,"@customer I'm so sorry to hear this Emma, can you please DM me your full name, address &amp; email address so I can look into this for you? Thanks",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1884799""]","[""@customer I'm so sorry to hear this Emma, can you please DM me your full name, address &amp; email address so I can look into this for you? Thanks""]",[19.473038],"[""account_or_order"", ""punctuation_heavy"", ""repeated_failure"", ""strong_distress""]"
tesco-479890,simple_rules_bm25_v1,store_or_staff_experience,0.79,"@customer Hi <name_redacted>. This is great to hear, and I really appreciate you taking the time to get in touch! 1/2 @customer I've passed your message onto the store's Duty Manager to make sure our colleagues get the recognition they deserve! Thanks - Chris 2/2",ESCALATE,REPEATED_FAILURE_OR_DISTRESS,"[""tesco-1381182""]","[""@customer Hi <name_redacted>. This is great to hear, and I really appreciate you taking the time to get in touch! 1/2 @customer I've passed your message onto the store's Duty Manager to make sure our colleagues get the recognition they deserve! Thanks - Chris 2/2""]",[22.346849],[]
tesco-89598,simple_rules_bm25_v1,delivery_or_collection,0.79,"@customer Hi <name_redacted>, can you please send me a DM with your full name, address and order number so I can look into this? Thank you. Neil",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-1323023""]","[""@customer Hi <name_redacted>, can you please send me a DM with your full name, address and order number so I can look into this? Thank you. Neil""]",[28.962892],"[""account_or_order"", ""punctuation_heavy"", ""repeated_failure""]"
tesco-2820812,simple_rules_bm25_v1,online_account_or_checkout,0.63,"@customer Hi there. We sent out vouchers at the start of November. If you had over 150 points by then you should have got some. I can double check for you if you DM me your name, address, email and Clubcard number. Thanks",ESCALATE,ACCOUNT_OR_ORDER_LOOKUP,"[""tesco-2366605""]","[""@customer Hi there. We sent out vouchers at the start of November. If you had over 150 points by then you should have got some. I can double check for you if you DM me your name, address, email and Clubcard number. Thanks""]",[20.589685],"[""account_or_order"", ""money""]"
tesco-64413,simple_rules_bm25_v1,store_or_staff_experience,0.63,"@customer Hi there, yeah I see what you mean there seems to be a lot of wear and tear for a 6 week old pair of shoes. 1/5 @customer I am very sorry and I totally understand why you would be unhappy with this product as they are certainly not fit for purpose at all. 2/5 @customer If you could pop back into one of our big stores with these and your receipt (if available) you will be entitled to a refund. :) 3/5 @customer I would also like to get this issue logged and fed back to the supplier. In order to do so I would need some details from you. 4/5 @customer So can you DM me your name, address and postcode. If you could also send me the barcode from the tag (if available). Thanks, Mike. 5/5",ESCALATE,IMAGE_OR_MISSING_CONTEXT,"[""tesco-1706964""]","[""@customer Hi there, yeah I see what you mean there seems to be a lot of wear and tear for a 6 week old pair of shoes. 1/5 @customer I am very sorry and I totally understand why you would be unhappy with this product as they are certainly not fit for purpose at all. 2/5 @customer If you could pop back into one of our big stores with these and your receipt (if available) you will be entitled to a refund. :) 3/5 @customer I would also like to get this issue logged and fed back to the supplier. In order to do so I would need some details from you. 4/5 @customer So can you DM me your name, address and postcode. If you could also send me the barcode from the tag (if available). Thanks, Mike. 5/5""]",[31.576014],"[""account_or_order"", ""image_or_link_dependent"", ""punctuation_heavy""]"
